STATION,STATION_NAME,DATE,PRCP,SNWD,SNOW,TMAX,TMIN,AWND
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,20131101,8,-9999,0,222,156,94
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,20131102,0,-9999,0,189,100,21
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,20131103,8,-9999,0,117,11,48
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,20131104,0,-9999,0,56,-5,39
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,20131105,0,-9999,0,89,0,33
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,20131106,0,-9999,0,161,56,48
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,20131107,56,-9999,0,200,61,62
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,20131108,0,-9999,0,100,33,60
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,20131109,0,-9999,0,83,17,52
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,20131110,8,-9999,0,144,56,51
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,20131111,0,-9999,0,117,50,57
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,20131112,20,-9999,0,100,-16,61
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,20131113,0,-9999,0,33,-32,57
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,20131114,0,-9999,0,111,-10,53
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,20131115,0,-9999,0,167,33,39
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,20131116,0,-9999,0,150,44,24
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,20131117,10,-9999,0,128,33,15
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,20131118,38,-9999,0,194,100,60
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,20131119,0,-9999,0,100,0,75
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,20131120,0,-9999,0,61,-16,43
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,20131121,0,-9999,0,89,-16,31
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,20131122,64,-9999,0,89,56,22
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,20131123,0,-9999,0,100,-5,72
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,20131124,0,-9999,0,-5,-60,100
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,20131125,0,-9999,0,11,-77,56
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,20131126,25,-9999,0,67,0,41
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,20131127,455,-9999,0,167,39,75
