Loop,Time Stamp,Count
1,06/30/2014 11:00:00 PM,6
27,06/30/2014 11:00:00 PM,3
25,06/30/2014 11:00:00 PM,107
4,06/30/2014 11:00:00 PM,69
4,06/30/2014 10:00:00 PM,95
27,06/30/2014 10:00:00 PM,1
25,06/30/2014 10:00:00 PM,144
1,06/30/2014 10:00:00 PM,12
4,06/30/2014 09:00:00 PM,109
27,06/30/2014 09:00:00 PM,12
25,06/30/2014 09:00:00 PM,157
1,06/30/2014 09:00:00 PM,51
4,06/30/2014 08:00:00 PM,98
27,06/30/2014 08:00:00 PM,22
25,06/30/2014 08:00:00 PM,232
1,06/30/2014 08:00:00 PM,124
4,06/30/2014 07:00:00 PM,140
27,06/30/2014 07:00:00 PM,26
25,06/30/2014 07:00:00 PM,300
1,06/30/2014 07:00:00 PM,165
4,06/30/2014 06:00:00 PM,150
27,06/30/2014 06:00:00 PM,12
25,06/30/2014 06:00:00 PM,416
1,06/30/2014 06:00:00 PM,102
4,06/30/2014 05:00:00 PM,141
27,06/30/2014 05:00:00 PM,7
25,06/30/2014 05:00:00 PM,366
1,06/30/2014 05:00:00 PM,35
4,06/30/2014 04:00:00 PM,184
27,06/30/2014 04:00:00 PM,6
25,06/30/2014 04:00:00 PM,285
1,06/30/2014 04:00:00 PM,16
4,06/30/2014 03:00:00 PM,151
27,06/30/2014 03:00:00 PM,21
25,06/30/2014 03:00:00 PM,200
1,06/30/2014 03:00:00 PM,19
1,06/30/2014 02:00:00 PM,18
27,06/30/2014 02:00:00 PM,8
25,06/30/2014 02:00:00 PM,191
4,06/30/2014 02:00:00 PM,206
1,06/30/2014 01:00:00 PM,25
27,06/30/2014 01:00:00 PM,31
25,06/30/2014 01:00:00 PM,195
4,06/30/2014 01:00:00 PM,190
4,06/30/2014 12:00:00 PM,183
27,06/30/2014 12:00:00 PM,45
25,06/30/2014 12:00:00 PM,167
1,06/30/2014 12:00:00 PM,8
4,06/30/2014 11:00:00 AM,185
27,06/30/2014 11:00:00 AM,78
25,06/30/2014 11:00:00 AM,161
1,06/30/2014 11:00:00 AM,8
4,06/30/2014 10:00:00 AM,269
27,06/30/2014 10:00:00 AM,86
25,06/30/2014 10:00:00 AM,156
1,06/30/2014 10:00:00 AM,4
4,06/30/2014 09:00:00 AM,286
27,06/30/2014 09:00:00 AM,58
25,06/30/2014 09:00:00 AM,182
1,06/30/2014 09:00:00 AM,9
4,06/30/2014 08:00:00 AM,268
27,06/30/2014 08:00:00 AM,25
25,06/30/2014 08:00:00 AM,149
1,06/30/2014 08:00:00 AM,5
4,06/30/2014 07:00:00 AM,173
27,06/30/2014 07:00:00 AM,11
25,06/30/2014 07:00:00 AM,73
1,06/30/2014 07:00:00 AM,3
4,06/30/2014 06:00:00 AM,77
27,06/30/2014 06:00:00 AM,2
25,06/30/2014 06:00:00 AM,36
1,06/30/2014 06:00:00 AM,3
4,06/30/2014 05:00:00 AM,20
27,06/30/2014 05:00:00 AM,0
25,06/30/2014 05:00:00 AM,16
1,06/30/2014 05:00:00 AM,1
4,06/30/2014 04:00:00 AM,15
27,06/30/2014 04:00:00 AM,0
25,06/30/2014 04:00:00 AM,8
1,06/30/2014 04:00:00 AM,2
1,06/30/2014 03:00:00 AM,0
27,06/30/2014 03:00:00 AM,0
25,06/30/2014 03:00:00 AM,14
4,06/30/2014 03:00:00 AM,14
1,06/30/2014 02:00:00 AM,0
27,06/30/2014 02:00:00 AM,0
25,06/30/2014 02:00:00 AM,34
4,06/30/2014 02:00:00 AM,30
4,06/30/2014 01:00:00 AM,36
27,06/30/2014 01:00:00 AM,0
25,06/30/2014 01:00:00 AM,46
1,06/30/2014 01:00:00 AM,3
4,06/30/2014 12:00:00 AM,35
27,06/30/2014 12:00:00 AM,0
25,06/30/2014 12:00:00 AM,69
1,06/30/2014 12:00:00 AM,4
4,06/29/2014 11:00:00 PM,52
27,06/29/2014 11:00:00 PM,0
25,06/29/2014 11:00:00 PM,98
1,06/29/2014 11:00:00 PM,1
4,06/29/2014 10:00:00 PM,84
27,06/29/2014 10:00:00 PM,3
25,06/29/2014 10:00:00 PM,147
1,06/29/2014 10:00:00 PM,3
4,06/29/2014 09:00:00 PM,111
27,06/29/2014 09:00:00 PM,9
25,06/29/2014 09:00:00 PM,138
1,06/29/2014 09:00:00 PM,27
4,06/29/2014 08:00:00 PM,99
27,06/29/2014 08:00:00 PM,34
25,06/29/2014 08:00:00 PM,143
1,06/29/2014 08:00:00 PM,23
4,06/29/2014 07:00:00 PM,110
27,06/29/2014 07:00:00 PM,15
25,06/29/2014 07:00:00 PM,128
1,06/29/2014 07:00:00 PM,19
4,06/29/2014 06:00:00 PM,101
27,06/29/2014 06:00:00 PM,29
25,06/29/2014 06:00:00 PM,124
1,06/29/2014 06:00:00 PM,25
4,06/29/2014 05:00:00 PM,115
27,06/29/2014 05:00:00 PM,28
25,06/29/2014 05:00:00 PM,113
1,06/29/2014 05:00:00 PM,19
25,06/29/2014 04:00:00 PM,163
27,06/29/2014 04:00:00 PM,24
4,06/29/2014 04:00:00 PM,152
1,06/29/2014 04:00:00 PM,15
1,06/29/2014 03:00:00 PM,21
27,06/29/2014 03:00:00 PM,26
25,06/29/2014 03:00:00 PM,109
4,06/29/2014 03:00:00 PM,117
4,06/29/2014 02:00:00 PM,145
27,06/29/2014 02:00:00 PM,25
25,06/29/2014 02:00:00 PM,157
1,06/29/2014 02:00:00 PM,21
4,06/29/2014 01:00:00 PM,152
27,06/29/2014 01:00:00 PM,34
25,06/29/2014 01:00:00 PM,137
1,06/29/2014 01:00:00 PM,23
4,06/29/2014 12:00:00 PM,142
27,06/29/2014 12:00:00 PM,46
25,06/29/2014 12:00:00 PM,118
1,06/29/2014 12:00:00 PM,8
4,06/29/2014 11:00:00 AM,104
27,06/29/2014 11:00:00 AM,39
25,06/29/2014 11:00:00 AM,105
1,06/29/2014 11:00:00 AM,9
4,06/29/2014 10:00:00 AM,89
27,06/29/2014 10:00:00 AM,30
25,06/29/2014 10:00:00 AM,78
1,06/29/2014 10:00:00 AM,5
4,06/29/2014 09:00:00 AM,58
27,06/29/2014 09:00:00 AM,7
25,06/29/2014 09:00:00 AM,41
1,06/29/2014 09:00:00 AM,3
4,06/29/2014 08:00:00 AM,35
27,06/29/2014 08:00:00 AM,3
25,06/29/2014 08:00:00 AM,27
1,06/29/2014 08:00:00 AM,5
4,06/29/2014 07:00:00 AM,29
27,06/29/2014 07:00:00 AM,4
25,06/29/2014 07:00:00 AM,17
1,06/29/2014 07:00:00 AM,1
25,06/29/2014 06:00:00 AM,12
27,06/29/2014 06:00:00 AM,1
1,06/29/2014 06:00:00 AM,0
4,06/29/2014 06:00:00 AM,16
25,06/29/2014 05:00:00 AM,14
27,06/29/2014 05:00:00 AM,0
4,06/29/2014 05:00:00 AM,7
1,06/29/2014 05:00:00 AM,1
1,06/29/2014 04:00:00 AM,0
27,06/29/2014 04:00:00 AM,0
25,06/29/2014 04:00:00 AM,22
4,06/29/2014 04:00:00 AM,14
4,06/29/2014 03:00:00 AM,39
27,06/29/2014 03:00:00 AM,0
25,06/29/2014 03:00:00 AM,41
1,06/29/2014 03:00:00 AM,5
4,06/29/2014 02:00:00 AM,54
27,06/29/2014 02:00:00 AM,0
25,06/29/2014 02:00:00 AM,54
1,06/29/2014 02:00:00 AM,1
4,06/29/2014 01:00:00 AM,81
27,06/29/2014 01:00:00 AM,0
25,06/29/2014 01:00:00 AM,96
1,06/29/2014 01:00:00 AM,1
4,06/29/2014 12:00:00 AM,94
27,06/29/2014 12:00:00 AM,0
25,06/29/2014 12:00:00 AM,138
1,06/29/2014 12:00:00 AM,2
4,06/28/2014 11:00:00 PM,100
27,06/28/2014 11:00:00 PM,0
25,06/28/2014 11:00:00 PM,135
1,06/28/2014 11:00:00 PM,0
4,06/28/2014 10:00:00 PM,119
27,06/28/2014 10:00:00 PM,2
25,06/28/2014 10:00:00 PM,185
1,06/28/2014 10:00:00 PM,3
4,06/28/2014 09:00:00 PM,118
27,06/28/2014 09:00:00 PM,8
25,06/28/2014 09:00:00 PM,155
1,06/28/2014 09:00:00 PM,21
4,06/28/2014 08:00:00 PM,114
27,06/28/2014 08:00:00 PM,27
25,06/28/2014 08:00:00 PM,164
1,06/28/2014 08:00:00 PM,38
1,06/28/2014 07:00:00 PM,27
27,06/28/2014 07:00:00 PM,19
25,06/28/2014 07:00:00 PM,148
4,06/28/2014 07:00:00 PM,129
1,06/28/2014 06:00:00 PM,26
27,06/28/2014 06:00:00 PM,22
25,06/28/2014 06:00:00 PM,162
4,06/28/2014 06:00:00 PM,118
4,06/28/2014 05:00:00 PM,117
27,06/28/2014 05:00:00 PM,14
25,06/28/2014 05:00:00 PM,164
1,06/28/2014 05:00:00 PM,23
4,06/28/2014 04:00:00 PM,125
27,06/28/2014 04:00:00 PM,29
25,06/28/2014 04:00:00 PM,114
1,06/28/2014 04:00:00 PM,11
4,06/28/2014 03:00:00 PM,113
27,06/28/2014 03:00:00 PM,32
25,06/28/2014 03:00:00 PM,131
1,06/28/2014 03:00:00 PM,10
4,06/28/2014 02:00:00 PM,148
27,06/28/2014 02:00:00 PM,19
25,06/28/2014 02:00:00 PM,147
1,06/28/2014 02:00:00 PM,21
4,06/28/2014 01:00:00 PM,131
27,06/28/2014 01:00:00 PM,19
25,06/28/2014 01:00:00 PM,144
1,06/28/2014 01:00:00 PM,17
4,06/28/2014 12:00:00 PM,148
27,06/28/2014 12:00:00 PM,26
25,06/28/2014 12:00:00 PM,163
1,06/28/2014 12:00:00 PM,22
4,06/28/2014 11:00:00 AM,116
27,06/28/2014 11:00:00 AM,42
25,06/28/2014 11:00:00 AM,124
1,06/28/2014 11:00:00 AM,6
4,06/28/2014 10:00:00 AM,121
27,06/28/2014 10:00:00 AM,20
25,06/28/2014 10:00:00 AM,118
1,06/28/2014 10:00:00 AM,1
4,06/28/2014 09:00:00 AM,97
27,06/28/2014 09:00:00 AM,10
25,06/28/2014 09:00:00 AM,59
1,06/28/2014 09:00:00 AM,7
1,06/28/2014 08:00:00 AM,3
27,06/28/2014 08:00:00 AM,4
25,06/28/2014 08:00:00 AM,55
4,06/28/2014 08:00:00 AM,58
1,06/28/2014 07:00:00 AM,0
27,06/28/2014 07:00:00 AM,6
25,06/28/2014 07:00:00 AM,33
4,06/28/2014 07:00:00 AM,36
4,06/28/2014 06:00:00 AM,36
27,06/28/2014 06:00:00 AM,6
25,06/28/2014 06:00:00 AM,12
1,06/28/2014 06:00:00 AM,0
4,06/28/2014 05:00:00 AM,15
27,06/28/2014 05:00:00 AM,0
25,06/28/2014 05:00:00 AM,17
1,06/28/2014 05:00:00 AM,0
4,06/28/2014 04:00:00 AM,14
27,06/28/2014 04:00:00 AM,0
25,06/28/2014 04:00:00 AM,19
1,06/28/2014 04:00:00 AM,1
4,06/28/2014 03:00:00 AM,44
27,06/28/2014 03:00:00 AM,0
25,06/28/2014 03:00:00 AM,49
1,06/28/2014 03:00:00 AM,1
4,06/28/2014 02:00:00 AM,60
27,06/28/2014 02:00:00 AM,0
25,06/28/2014 02:00:00 AM,64
1,06/28/2014 02:00:00 AM,1
4,06/28/2014 01:00:00 AM,76
27,06/28/2014 01:00:00 AM,0
25,06/28/2014 01:00:00 AM,84
1,06/28/2014 01:00:00 AM,5
4,06/28/2014 12:00:00 AM,111
27,06/28/2014 12:00:00 AM,0
25,06/28/2014 12:00:00 AM,153
1,06/28/2014 12:00:00 AM,1
4,06/27/2014 11:00:00 PM,128
27,06/27/2014 11:00:00 PM,2
25,06/27/2014 11:00:00 PM,164
1,06/27/2014 11:00:00 PM,3
4,06/27/2014 10:00:00 PM,116
27,06/27/2014 10:00:00 PM,4
25,06/27/2014 10:00:00 PM,185
1,06/27/2014 10:00:00 PM,11
25,06/27/2014 09:00:00 PM,189
27,06/27/2014 09:00:00 PM,9
4,06/27/2014 09:00:00 PM,145
1,06/27/2014 09:00:00 PM,38
1,06/27/2014 08:00:00 PM,79
27,06/27/2014 08:00:00 PM,24
25,06/27/2014 08:00:00 PM,233
4,06/27/2014 08:00:00 PM,192
4,06/27/2014 07:00:00 PM,166
27,06/27/2014 07:00:00 PM,22
25,06/27/2014 07:00:00 PM,315
1,06/27/2014 07:00:00 PM,144
4,06/27/2014 06:00:00 PM,171
27,06/27/2014 06:00:00 PM,21
25,06/27/2014 06:00:00 PM,365
1,06/27/2014 06:00:00 PM,139
4,06/27/2014 05:00:00 PM,181
27,06/27/2014 05:00:00 PM,11
25,06/27/2014 05:00:00 PM,373
1,06/27/2014 05:00:00 PM,53
4,06/27/2014 04:00:00 PM,136
27,06/27/2014 04:00:00 PM,23
25,06/27/2014 04:00:00 PM,319
1,06/27/2014 04:00:00 PM,27
4,06/27/2014 03:00:00 PM,180
27,06/27/2014 03:00:00 PM,18
25,06/27/2014 03:00:00 PM,256
1,06/27/2014 03:00:00 PM,34
4,06/27/2014 02:00:00 PM,200
27,06/27/2014 02:00:00 PM,12
25,06/27/2014 02:00:00 PM,264
1,06/27/2014 02:00:00 PM,17
4,06/27/2014 01:00:00 PM,217
27,06/27/2014 01:00:00 PM,41
25,06/27/2014 01:00:00 PM,240
1,06/27/2014 01:00:00 PM,23
4,06/27/2014 12:00:00 PM,173
27,06/27/2014 12:00:00 PM,28
25,06/27/2014 12:00:00 PM,202
1,06/27/2014 12:00:00 PM,18
1,06/27/2014 11:00:00 AM,5
27,06/27/2014 11:00:00 AM,76
4,06/27/2014 11:00:00 AM,190
25,06/27/2014 11:00:00 AM,168
1,06/27/2014 10:00:00 AM,1
27,06/27/2014 10:00:00 AM,130
25,06/27/2014 10:00:00 AM,194
4,06/27/2014 10:00:00 AM,303
1,06/27/2014 09:00:00 AM,10
27,06/27/2014 09:00:00 AM,81
25,06/27/2014 09:00:00 AM,192
4,06/27/2014 09:00:00 AM,321
4,06/27/2014 08:00:00 AM,265
27,06/27/2014 08:00:00 AM,33
25,06/27/2014 08:00:00 AM,143
1,06/27/2014 08:00:00 AM,3
4,06/27/2014 07:00:00 AM,166
27,06/27/2014 07:00:00 AM,20
25,06/27/2014 07:00:00 AM,75
1,06/27/2014 07:00:00 AM,4
4,06/27/2014 06:00:00 AM,69
27,06/27/2014 06:00:00 AM,7
25,06/27/2014 06:00:00 AM,25
1,06/27/2014 06:00:00 AM,2
4,06/27/2014 05:00:00 AM,17
27,06/27/2014 05:00:00 AM,0
25,06/27/2014 05:00:00 AM,10
1,06/27/2014 05:00:00 AM,0
4,06/27/2014 04:00:00 AM,8
27,06/27/2014 04:00:00 AM,0
25,06/27/2014 04:00:00 AM,16
1,06/27/2014 04:00:00 AM,0
4,06/27/2014 03:00:00 AM,27
27,06/27/2014 03:00:00 AM,0
25,06/27/2014 03:00:00 AM,25
1,06/27/2014 03:00:00 AM,1
4,06/27/2014 02:00:00 AM,37
27,06/27/2014 02:00:00 AM,0
25,06/27/2014 02:00:00 AM,37
1,06/27/2014 02:00:00 AM,2
4,06/27/2014 01:00:00 AM,41
27,06/27/2014 01:00:00 AM,0
25,06/27/2014 01:00:00 AM,77
1,06/27/2014 01:00:00 AM,3
1,06/27/2014 12:00:00 AM,2
27,06/27/2014 12:00:00 AM,0
25,06/27/2014 12:00:00 AM,112
4,06/27/2014 12:00:00 AM,79
1,06/26/2014 11:00:00 PM,7
27,06/26/2014 11:00:00 PM,2
25,06/26/2014 11:00:00 PM,142
4,06/26/2014 11:00:00 PM,126
4,06/26/2014 10:00:00 PM,127
27,06/26/2014 10:00:00 PM,1
25,06/26/2014 10:00:00 PM,208
1,06/26/2014 10:00:00 PM,12
4,06/26/2014 09:00:00 PM,103
27,06/26/2014 09:00:00 PM,5
25,06/26/2014 09:00:00 PM,219
1,06/26/2014 09:00:00 PM,51
4,06/26/2014 08:00:00 PM,152
27,06/26/2014 08:00:00 PM,20
25,06/26/2014 08:00:00 PM,297
1,06/26/2014 08:00:00 PM,98
4,06/26/2014 07:00:00 PM,172
27,06/26/2014 07:00:00 PM,18
25,06/26/2014 07:00:00 PM,375
1,06/26/2014 07:00:00 PM,88
4,06/26/2014 06:00:00 PM,180
27,06/26/2014 06:00:00 PM,16
25,06/26/2014 06:00:00 PM,468
1,06/26/2014 06:00:00 PM,69
4,06/26/2014 05:00:00 PM,166
27,06/26/2014 05:00:00 PM,13
25,06/26/2014 05:00:00 PM,401
1,06/26/2014 05:00:00 PM,37
4,06/26/2014 04:00:00 PM,154
27,06/26/2014 04:00:00 PM,10
25,06/26/2014 04:00:00 PM,298
1,06/26/2014 04:00:00 PM,20
4,06/26/2014 03:00:00 PM,178
27,06/26/2014 03:00:00 PM,28
25,06/26/2014 03:00:00 PM,222
1,06/26/2014 03:00:00 PM,29
4,06/26/2014 02:00:00 PM,143
27,06/26/2014 02:00:00 PM,21
25,06/26/2014 02:00:00 PM,258
1,06/26/2014 02:00:00 PM,20
1,06/26/2014 01:00:00 PM,21
27,06/26/2014 01:00:00 PM,19
25,06/26/2014 01:00:00 PM,227
4,06/26/2014 01:00:00 PM,176
1,06/26/2014 12:00:00 PM,13
27,06/26/2014 12:00:00 PM,63
25,06/26/2014 12:00:00 PM,221
4,06/26/2014 12:00:00 PM,165
4,06/26/2014 11:00:00 AM,190
27,06/26/2014 11:00:00 AM,58
25,06/26/2014 11:00:00 AM,166
1,06/26/2014 11:00:00 AM,8
4,06/26/2014 10:00:00 AM,263
27,06/26/2014 10:00:00 AM,78
25,06/26/2014 10:00:00 AM,166
1,06/26/2014 10:00:00 AM,8
4,06/26/2014 09:00:00 AM,317
27,06/26/2014 09:00:00 AM,64
25,06/26/2014 09:00:00 AM,170
1,06/26/2014 09:00:00 AM,7
4,06/26/2014 08:00:00 AM,271
27,06/26/2014 08:00:00 AM,37
25,06/26/2014 08:00:00 AM,126
1,06/26/2014 08:00:00 AM,7
